,LEASED,LEASED,READY,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,,,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,Excluded,LEASED,READY,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,Excluded,LEASED,READY,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,LEASED,READY,LEASED,Excluded,Excluded,LEASED,LEASED,LEASED,,,
Oct 15,,"2,500",,,,,READY,"2,500",,READY,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov 15,READY,"1,800",Renovated,READY,,READY,READY,"2,500",READY,READY,READY,,READY,Renovated,,,,"1,134",,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 15,"1,800","5,392",Renovated,READY,,"1,700","2,200","2,500","1,900","2,500",READY,,READY,Renovated,,,,"1,700",,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 16,"1,800",,Renovated,"1,600",N/A,"1,700","2,200","2,500","1,900","1,900","1,800",N/A,"1,900",Renovated,"1,700",N/A,N/A,"1,700","1,600",N/A,Unpaid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 16,"1,800",,Renovated,"1,600",N/A,"1,700","2,200","2,500","1,900","1,900","1,800",N/A,"1,900",Renovated,"1,690",Renovated,N/A,"1,700","1,600",Renovated,Unpaid,"1,050",Renovated,N/A,"1,466","1,294","1,650",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 16,"1,800","1,800",READY,"1,600",Renovated,Unpaid,"2,200","2,500","1,900","1,900","1,800",N/A,"1,900",READY,"1,690",Renovated,N/A,"1,700","1,600","2,000","1,700",2000,Renovated,N/A,"1,700","1,500","1,650",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr 16,"1,800","1,800","2,200","1,600",Renovated,Unpaid,"2,200","2,500","1,900","1,900","1,800",N/A,"1,900",READY,"1,690",READY,N/A,"1,700","1,600",Ready,"1,700",2000,"2,200",N/A,"1,700","1,500","1,650","1,800","3,400",1400,"1,500",Under contract with Seller,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 16,"1,800","1,800","2,200","1,600",Renovated,Unpaid,"2,200","2,500","1,900","1,900","1,800",N/A,"1,900","1,900","1,690","2,200",N/A,"1,700","1,600","1,900","1,700",2000,2200,N/A,"1,700","1,500","1,650","1,800",,1400,"1,500",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 16,"1,800","1,800","2,200","1,600",READY,Unpaid,"2,200",Unpaid,"1,900","1,900","1,800",N/A,"1,900","1,900","1,690","2,200",N/A,"1,700","1,600","1,900","1,700",2000,Unpaid,READY,"1,700","1,500","1,650","1,800","3,400",1400,READY,"1,550","1,470",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul 16,"1,800","1,800","2,200","1,600",READY,Unpaid,"2,200","2,500","1,900","1,900","1,800",N/A,"1,900",Unpaid,"1,690","2,200",N/A,READY,"1,600","1,900","1,700",2000,"2,200",READY,"1,700","1,500","1,650","1,800",,"1,400",READY,"1,550","1,470",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
